difficulty,image_type,image_name,ocr_text,confidence,notes
easy,sr_tsrn,easy_001_lr_tsrn.png,0U06029757,0.2245,
easy,sr_tsrn,easy_002_lr_tsrn.png,0U04029757,0.8153,
easy,sr_tsrn,easy_003_lr_tsrn.png,(Cammme,0.4917,
easy,sr_tsrn,easy_004_lr_tsrn.png,Moses,0.997,
easy,sr_tsrn,easy_005_lr_tsrn.png,Irpresslonlsi,0.3952,
easy,sr_tsrn,easy_006_lr_tsrn.png,1830 T 1903,0.6719,
easy,sr_tsrn,easy_007_lr_tsrn.png,"Plssarro,",0.8473,
easy,sr_tsrn,easy_008_lr_tsrn.png,Camille,0.7839,
easy,sr_tsrn,easy_009_lr_tsrn.png,10J0  |DOJ,0.201,
easy,sr_tsrn,easy_010_lr_tsrn.png,2,0.2266,
easy,sr_tsrn,easy_011_lr_tsrn.png,E=,0.0005,
easy,sr_tsrn,easy_012_lr_tsrn.png,,0,No text detected
easy,sr_tsrn,easy_013_lr_tsrn.png,Mango,0.71,
easy,sr_tsrn,easy_014_lr_tsrn.png,Mango,0.7807,
easy,sr_tsrn,easy_015_lr_tsrn.png,n,0.0552,
easy,sr_tsrn,easy_016_lr_tsrn.png,2,0.4878,
easy,sr_tsrn,easy_017_lr_tsrn.png,(Pcs,0.2113,
easy,sr_tsrn,easy_018_lr_tsrn.png,,0,No text detected
easy,sr_tsrn,easy_019_lr_tsrn.png,,0,No text detected
easy,sr_tsrn,easy_020_lr_tsrn.png,,0,No text detected
easy,sr_tsrn,easy_021_lr_tsrn.png,,0,No text detected
easy,sr_tsrn,easy_022_lr_tsrn.png,,0,No text detected
easy,sr_tsrn,easy_023_lr_tsrn.png,,0,No text detected
easy,sr_tsrn,easy_024_lr_tsrn.png,,0,No text detected
easy,sr_tsrn,easy_025_lr_tsrn.png,,0,No text detected
easy,sr_tsrn,easy_026_lr_tsrn.png,L7-2,0.0191,
easy,sr_tsrn,easy_027_lr_tsrn.png,,0,No text detected
easy,sr_tsrn,easy_028_lr_tsrn.png,Fn,0.1305,
easy,sr_tsrn,easy_029_lr_tsrn.png,,0,No text detected
easy,sr_tsrn,easy_030_lr_tsrn.png,,0,No text detected
easy,sr_tsrn,easy_031_lr_tsrn.png,FLBH,0.1182,
easy,sr_tsrn,easy_032_lr_tsrn.png,ecala,0.1152,
easy,sr_tsrn,easy_033_lr_tsrn.png,,0,No text detected
easy,sr_tsrn,easy_034_lr_tsrn.png,,0,No text detected
easy,sr_tsrn,easy_035_lr_tsrn.png,,0,No text detected
easy,sr_tsrn,easy_036_lr_tsrn.png,C,0.1676,
easy,sr_tsrn,easy_037_lr_tsrn.png,doco,0.4142,
easy,sr_tsrn,easy_038_lr_tsrn.png,Sen,0.363,
easy,sr_tsrn,easy_039_lr_tsrn.png,Canar,0.1605,
easy,sr_tsrn,easy_040_lr_tsrn.png,SIEMENS,0.9971,
easy,sr_tsrn,easy_041_lr_tsrn.png,SIEMENS,0.9975,
easy,sr_tsrn,easy_042_lr_tsrn.png,SIEMENS,0.9963,
easy,sr_tsrn,easy_043_lr_tsrn.png,SIEMES,0.7084,
easy,sr_tsrn,easy_044_lr_tsrn.png,slEM@NS,0.2951,
easy,sr_tsrn,easy_045_lr_tsrn.png,SIEMIFNS,0.452,
easy,sr_tsrn,easy_046_lr_tsrn.png,SLEMCNS,0.8846,
easy,sr_tsrn,easy_047_lr_tsrn.png,SIEMMENS,0.6415,
easy,sr_tsrn,easy_048_lr_tsrn.png,SIEMEAS,0.3442,
easy,sr_tsrn,easy_049_lr_tsrn.png,SIEMENS,0.9943,
easy,sr_tsrn,easy_050_lr_tsrn.png,SIEMENS,0.996,
easy,sr_tsrn,easy_051_lr_tsrn.png,SIEMENS,0.9985,
